국가명,기준연월,소비건수
미국,2018,276641
미국,2019,331323
미국,2020,246121
미국,2021,338482
미국,2022,508853
미국,2023,676658
중국,2018,188031
중국,2019,214775
중국,2020,134517
중국,2021,66881
중국,2022,134811
중국,2023,300595
일본,2018,67261
일본,2019,101873
일본,2020,49700
일본,2021,41409
일본,2022,74867
일본,2023,228490
태국,2018,7197
태국,2019,10525
태국,2020,5357
태국,2021,3563
태국,2022,17457
태국,2023,34889
러시아,2018,67523
러시아,2019,81771
러시아,2020,24999
러시아,2021,17087
러시아,2022,4201
러시아,2023,28
몽골,2018,7679
몽골,2019,9175
몽골,2020,3811
몽골,2021,3387
몽골,2022,13003
몽골,2023,21229
베트남,2018,7903
베트남,2019,9985
베트남,2020,5246
베트남,2021,5371
베트남,2022,12225
베트남,2023,15495
싱가포르,2018,12715
싱가포르,2019,15183
싱가포르,2020,8024
싱가포르,2021,10813
싱가포르,2022,28353
싱가포르,2023,55530
카자흐스탄,2018,26202
카자흐스탄,2019,30547
카자흐스탄,2020,9687
카자흐스탄,2021,7353
카자흐스탄,2022,20849
카자흐스탄,2023,40181
대만,2018,5417
대만,2019,9241
대만,2020,4942
대만,2021,3443
대만,2022,7543
대만,2023,30664
